id;data_pedido;valor_pedido
1;2020-02-14T22:06:19;25858.2
2;2020-02-15T11:14:37;23046.86
3;2020-02-14T17:15:52;6888.81
4;2020-02-15T02:28:47;6913.66
5;2020-02-15T09:04:22;28537.13
6;2020-02-14T17:39:22;19156.04
7;2020-02-15T11:03:47;18942.51
8;2020-02-15T04:48:29;27883.79
9;2020-02-15T00:50:34;22716.97
10;2020-02-15T01:41:51;31000.37
11;2020-02-15T03:46:27;31655.04
12;2020-02-15T06:31:09;25972.56
13;2020-02-15T16:58:04;2259.4
14;2020-02-15T13:11:44;9029.68
15;2020-02-15T15:14:11;32121.07
16;2020-02-15T04:09:52;21362.93
17;2020-02-14T21:35:56;7198.61
18;2020-02-15T16:25:57;4846.88
19;2020-02-14T21:18:20;9696.74
20;2020-02-15T07:41:18;18225.43
21;2020-02-14T22:17:06;11009.85
22;2020-02-15T16:56:52;7276.69
23;2020-02-15T00:37:07;13632.57
24;2020-02-15T07:07:25;31030.99
25;2020-02-15T02:08:11;867.72
26;2020-02-14T21:09:42;19330.41
27;2020-02-15T13:21:50;8137.67
28;2020-02-15T03:33:11;8452.78
29;2020-02-14T20:33:55;17510.53
30;2020-02-14T23:03:35;7660.32
